,Unnamed: 0,Dmix,Lmix,X,pressure
10,10,0.0045,0.01,0.02806386,3261881.0
11,11,0.0045,0.01,0.0286241199999999,3434949.0
12,12,0.0045,0.01,0.0291327799999999,3213735.5
13,13,0.0045,0.01,0.029672125,3186220.0
14,14,0.0045,0.01,0.03025969,3270466.0
15,15,0.0045,0.01,0.03092993,3046854.0
16,16,0.0045,0.01,0.031747705,3029186.5
17,17,0.0045,0.01,0.03261555,3109614.5
18,18,0.0045,0.01,0.033480855,3107425.0
19,19,0.0045,0.01,0.034349835,3167622.0
20,20,0.0045,0.01,0.0352198799999999,3225833.5
21,21,0.0045,0.01,0.0360821049999999,3299068.0
22,22,0.0045,0.01,0.0369457449999999,3359135.5
23,23,0.0045,0.01,0.037807165,3392578.0
24,24,0.0045,0.01,0.03868486,3405976.0
25,25,0.0045,0.01,0.03956424,3406182.0
26,26,0.0045,0.01,0.04046517,3398553.0
27,27,0.0045,0.01,0.04136609,3386286.0
28,28,0.0045,0.01,0.04226702,3371015.5
29,29,0.0045,0.01,0.043167935,3354020.5
30,30,0.0045,0.01,0.044068865,3336535.5
31,31,0.0045,0.01,0.04496979,3319479.0
32,32,0.0045,0.01,0.0458707,3302957.0
33,33,0.0045,0.01,0.0467715849999999,3286726.0
34,34,0.0045,0.01,0.04767249,3270522.0
35,35,0.0045,0.01,0.0485734249999999,3254159.5
36,36,0.0045,0.01,0.0494743449999999,3237612.5
37,37,0.0045,0.01,0.0503752699999999,3220944.0
38,38,0.0045,0.01,0.05127619,3204351.5
39,39,0.0045,0.01,0.05217712,3187564.5
40,40,0.0045,0.01,0.053078035,3170452.0
41,41,0.0045,0.01,0.053978965,3152973.0
42,42,0.0045,0.01,0.054879885,3135128.5
43,43,0.0045,0.01,0.0557808199999999,3116948.5
44,44,0.0045,0.01,0.056681735,3098750.0
45,45,0.0045,0.01,0.0575826599999999,3080495.0
46,46,0.0045,0.01,0.058483565,3062032.0
47,47,0.0045,0.01,0.059384465,3043342.5
48,48,0.0045,0.01,0.060285365,3024364.0
49,49,0.0045,0.01,0.06118627,3004984.5
50,50,0.0045,0.01,0.062087165,2985423.0
51,51,0.0045,0.01,0.062988075,2965350.0
52,52,0.0045,0.01,0.06388901,2944376.0
53,53,0.0045,0.01,0.06478993,2922250.5
54,54,0.0045,0.01,0.0656908549999999,2898705.0
55,55,0.0045,0.01,0.0665917749999999,2873983.0
56,56,0.0045,0.01,0.0674926999999999,2847760.0
57,57,0.0045,0.01,0.0683936249999999,2819067.5
58,58,0.0045,0.01,0.069294545,2786999.0
59,59,0.0045,0.01,0.0701961349999999,2758008.0
60,60,0.0045,0.01,0.0715993299999999,2976272.5
61,61,0.0045,0.01,0.073494225,3214558.0
62,62,0.0045,0.01,0.075395685,3349307.5
63,63,0.0045,0.01,0.077309295,3441016.0
64,64,0.0045,0.01,0.0792803,3509264.5
65,65,0.0045,0.01,0.081186195,3559519.0
